antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
rich,coordinates of geographic center,0.5,0.15,0.15,0.3,2.0,0.075,1.2142857142857144
rich,native language,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,route map,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,official religion,0.5,0.125,0.125,0.25,2.0,0.0625,1.1666666666666667
rich,right to vote,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,median income,0.5,0.325,0.325,0.65,2.0,0.1625,1.9285714285714288
rich,NCI Thesaurus ID,0.5,0.15,0.15,0.3,2.0,0.075,1.2142857142857144
rich,funder,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,name in kana,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,voltage,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,patron saint,0.5,0.175,0.175,0.35,2.0,0.0875,1.2692307692307692
rich,seal image,0.5,0.125,0.125,0.25,2.0,0.0625,1.1666666666666667
rich,number of households,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,nominal GDP per capita,0.5,0.075,0.075,0.15,2.0,0.0375,1.0882352941176472
rich,mean age,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,has part(s) of the class,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,minimum wage,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,contains,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,GDP (PPP),0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,free/libre open source software development policy URL,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,name,0.5,0.2,0.2,0.4,2.0,0.1,1.3333333333333335
rich,described at URL,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,drainage basin,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,literate population,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,social media followers,0.5,0.25,0.25,0.5,2.0,0.125,1.5
